5/6/14,2:53:39,PM,EDT,2251,768
5/6/14,2:53:39,PM,EDT,2252,783
5/6/14,2:53:39,PM,EDT,2253,784
5/6/14,2:53:39,PM,EDT,2254,760
5/6/14,2:53:39,PM,EDT,2255,769
5/6/14,2:53:39,PM,EDT,2256,772
5/6/14,2:53:39,PM,EDT,2257,776
5/6/14,2:53:39,PM,EDT,2258,767
5/6/14,2:53:39,PM,EDT,2259,769
5/6/14,2:53:39,PM,EDT,2260,769
5/6/14,2:53:39,PM,EDT,2261,789
5/6/14,2:53:39,PM,EDT,2262,775
5/6/14,2:53:39,PM,EDT,2263,787
5/6/14,2:53:39,PM,EDT,2264,772
5/6/14,2:53:39,PM,EDT,2265,776
5/6/14,2:53:39,PM,EDT,2266,779
5/6/14,2:53:39,PM,EDT,2267,776
5/6/14,2:53:39,PM,EDT,2268,788
5/6/14,2:53:39,PM,EDT,2269,764
5/6/14,2:53:39,PM,EDT,2270,773
