5/6/14,2:16:31,PM,EDT,2251,648
5/6/14,2:16:31,PM,EDT,2252,662
5/6/14,2:16:31,PM,EDT,2253,664
5/6/14,2:16:31,PM,EDT,2254,639
5/6/14,2:16:31,PM,EDT,2255,649
5/6/14,2:16:31,PM,EDT,2256,650
5/6/14,2:16:31,PM,EDT,2257,654
5/6/14,2:16:31,PM,EDT,2258,644
5/6/14,2:16:31,PM,EDT,2259,644
5/6/14,2:16:31,PM,EDT,2260,649
5/6/14,2:16:31,PM,EDT,2261,671
5/6/14,2:16:31,PM,EDT,2262,657
5/6/14,2:16:31,PM,EDT,2263,667
5/6/14,2:16:31,PM,EDT,2264,650
5/6/14,2:16:31,PM,EDT,2265,657
5/6/14,2:16:31,PM,EDT,2266,657
5/6/14,2:16:31,PM,EDT,2267,654
5/6/14,2:16:31,PM,EDT,2268,669
5/6/14,2:16:31,PM,EDT,2269,642
5/6/14,2:16:31,PM,EDT,2270,652
